algorithm,inputType,n,timeMs,maxDepth,comparisons
mergesort,random,1000,0.189,7,10473
mergesort,random,5000,0.755,10,58501
mergesort,random,10000,0.980,11,126865
mergesort,random,50000,5.359,13,768819
mergesort,random,100000,11.966,14,1638784
mergesort,random,500000,75.950,16,9609609
mergesort,random,1000000,152.264,17,20224993
mergesort,sorted,1000,0.032,7,3956
mergesort,sorted,5000,0.115,10,27124
mergesort,sorted,10000,0.323,11,59248
mergesort,sorted,50000,1.465,13,347008
mergesort,sorted,100000,3.045,14,744016
mergesort,sorted,500000,18.066,16,4226160
mergesort,sorted,1000000,39.768,17,8952320
mergesort,reverse,1000,0.024,7,10300
mergesort,reverse,5000,0.137,10,44324
mergesort,reverse,10000,0.280,11,93648
mergesort,reverse,50000,1.696,13,579408
mergesort,reverse,100000,5.919,14,1208816
mergesort,reverse,500000,25.785,16,7308912
mergesort,reverse,1000000,47.025,17,15117824
mergesort,duplicates,1000,0.024,7,9704
mergesort,duplicates,5000,0.258,10,56091
mergesort,duplicates,10000,0.598,11,121434
mergesort,duplicates,50000,3.109,13,734534
mergesort,duplicates,100000,6.752,14,1561682
mergesort,duplicates,500000,37.650,16,9132398
mergesort,duplicates,1000000,77.830,17,19207909
quicksort,random,1000,0.268,7,13140
quicksort,random,5000,1.545,9,74363
quicksort,random,10000,1.208,9,157854
quicksort,random,50000,6.902,11,943986
quicksort,random,100000,14.633,12,2125353
quicksort,random,500000,79.901,13,11602780
quicksort,random,1000000,166.767,14,24603283
quicksort,sorted,1000,0.066,7,11866
quicksort,sorted,5000,0.390,9,76613
quicksort,sorted,10000,0.742,10,164038
quicksort,sorted,50000,4.184,11,957751
quicksort,sorted,100000,8.996,12,2102459
quicksort,sorted,500000,51.988,13,11614894
quicksort,sorted,1000000,106.343,14,24464385
quicksort,reverse,1000,0.063,7,12777
quicksort,reverse,5000,0.373,9,75243
quicksort,reverse,10000,0.756,9,167203
quicksort,reverse,50000,4.288,10,977148
quicksort,reverse,100000,9.458,11,2116289
quicksort,reverse,500000,52.583,13,12268135
quicksort,reverse,1000000,108.469,14,24950485
quicksort,duplicates,1000,0.032,3,3952
quicksort,duplicates,5000,0.112,3,15920
quicksort,duplicates,10000,0.226,4,40831
quicksort,duplicates,50000,1.156,3,164990
quicksort,duplicates,100000,2.412,3,370518
quicksort,duplicates,500000,11.057,3,2099950
quicksort,duplicates,1000000,22.695,3,3199448
select,random,1000,0.224,5,7616
select,random,5000,0.391,6,40157
select,random,10000,2.727,6,81322
select,random,50000,4.546,7,424629
select,random,100000,5.336,8,849899
select,random,500000,27.700,9,4294256
select,random,1000000,54.110,9,8389672
select,sorted,1000,0.035,5,6238
select,sorted,5000,0.229,6,33652
select,sorted,10000,0.290,6,68030
select,sorted,50000,1.435,7,352416
select,sorted,100000,2.808,8,709499
select,sorted,500000,14.655,9,3588193
select,sorted,1000000,28.705,9,7217916
select,reverse,1000,0.020,5,7347
select,reverse,5000,0.125,6,38591
select,reverse,10000,0.272,6,78172
select,reverse,50000,1.455,7,399333
select,reverse,100000,2.856,8,798554
select,reverse,500000,14.505,9,4048502
select,reverse,1000000,28.782,9,8099863
select,duplicates,1000,0.009,5,3165
select,duplicates,5000,0.085,6,15443
select,duplicates,10000,0.206,6,30693
select,duplicates,50000,1.199,7,173029
select,duplicates,100000,2.203,8,309413
select,duplicates,500000,12.809,9,1550314
select,duplicates,1000000,23.247,9,3090334
closest_pair,random,1000,0.936,10,8719
closest_pair,random,5000,3.781,12,55465
closest_pair,random,10000,7.031,13,121092
closest_pair,random,50000,45.482,16,723163
closest_pair,random,100000,63.226,17,1546828
closest_pair,sorted,1000,0.184,10,8719
closest_pair,sorted,5000,1.175,12,55574
closest_pair,sorted,10000,2.466,13,121101
closest_pair,sorted,50000,13.695,16,723330
closest_pair,sorted,100000,30.272,17,1546815
closest_pair,reverse,1000,0.300,10,8709
closest_pair,reverse,5000,1.451,12,55541
closest_pair,reverse,10000,2.914,13,120995
closest_pair,reverse,50000,15.050,16,723691
closest_pair,reverse,100000,32.633,17,1546619
closest_pair,duplicates,1000,0.928,10,8527
closest_pair,duplicates,5000,2.453,12,53696
closest_pair,duplicates,10000,6.319,13,117396
closest_pair,duplicates,50000,23.811,16,698797
closest_pair,duplicates,100000,45.322,17,1491833
